Title,PC,Xbox 360,Xbox One,Playstation 3,Playstation 4,Wii U,Nintendo Switch,Action,Adventure,Battle Royale,Fighting,Shooter,Racing,Real-Time Strategy,Role-Playing,Simulation,Sports,Singleplayer,Multiplayer,Online,Local,Rating,E,E10,T,M,Price,Year,Month,Day,Picture,Description,id,steamid,targetps4,targetxone,targetswitch,gamestopps3,gamestopps4,gamestopx360,gamestopxone,gamestopwiiu,gamestopswitch,newpage
Control,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,8.8,0,0,0,1,19.99,2019,08,27,https://upload.wikimedia.org/wikipedia/en/6/6a/D1IOd0BWsAAiX5T.jpg,"Control is inspired by the fictional SCP Foundation, an online project of user-created stories of paranormal objects, and based on the genre of the new weird. The environments of the Oldest House are designed in the brutalist architecture, common for many oppressive governmental buildings and which served as a setting to show off the game's destructive environmental systems. Control was one of the first games released to take advantage of real-time ray tracing built into the hardware of newer video cards. In addition to Hope, further voice work and live-action footage is provided by James McCaffrey, Matthew Porretta, and Martti Suosalo, while the band Poets of the Fall provided additional music.",11,870780,54647415,54647428,0,0,10165019,0,10165016,0,0,0
Monster Hunter: World,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,9,0,0,1,0,19.99,2018,01,26,https://upload.wikimedia.org/wikipedia/en/1/1b/Monster_Hunter_World_cover_art.jpg,"Monster Hunter: World is an action role-playing game played from a third-person perspective. Similar to previous games in the series, the player takes the role of a player-created character who travels to the ""New World"", an unpopulated landmass filled with monsters, to join the Research Commission that studies the land from their central command base of Astera. The Research Commission tasks the Hunter to hunt down and either kill or capture large monsters that roam outside Astera to both protect the Commission and to study the monsters there. The player's character does not have any intrinsic attributes, but instead these are determined by what equipment the character is equipped with. This includes a weapon, selected from the series' fourteen archetypes (such as long sword, bow, or hammer), which then further defines the types of combat moves and abilities the player can use, and pieces of armor, which can lead to beneficial or detrimental combat skills if matched properly. While some basic equipment can be purchased using in-game money, most equipment is built from loot obtained by slaying or trapping monsters, rewards from completing quests, or items gathered while in the field. This creates a core loop of gameplay that has the player fight monsters they can beat to obtain the right loot to craft improved weapons and armor to allow them to face more powerful monsters and the potential for even better equipment.",12,582010,0,54581869,0,0,10149673,0,10149675,0,0,0
Call of Duty: Modern Warfare,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,8,0,0,0,1,49.99,2019,10,25,https://upload.wikimedia.org/wikipedia/en/e/e9/CallofDutyModernWarfare%282019%29.jpg,"The game takes place in a realistic and modern setting. The campaign follows a CIA officer and British SAS forces as they team up with rebels from the fictional country of Urzikstan, combating together against Russian forces who have invaded the country. The game's Special Ops mode features cooperative play missions that follow up the campaign's story. The multiplayer mode supports cross-platform multiplayer and cross-platform progression for the first time in the series. It has been reworked for gameplay to be more tactical and introduces new features, such as a Realism mode that removes the HUD as well as a form of the Ground War mode that now supports 64 players.",13,0,76615858,76615857,0,0,11094749,0,11097726,0,0,0
Call of Duty: Black Ops Cold War,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,6,0,0,0,1,59.99,2020,11,13,https://upload.wikimedia.org/wikipedia/en/4/40/Black_Ops_Cold_War.jpeg,"Black Ops Cold War is set during the early 1980s of the Cold War. Its campaign follows CIA officer Russell Adler as he pursues Perseus, an alleged Soviet spy, whose stated goal is to subvert the United States and tilt the balance of power toward the Soviet Union. Multiplayer has new game modes, more extensive customization, and new map dynamics and elements.",14,0,81321128,81321126,0,0,11103152,0,11103151,0,0,0
Mortal Kombat 11,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,9,0,0,0,1,59.99,2019,04,23,https://upload.wikimedia.org/wikipedia/en/7/7e/Mortal_Kombat_11_cover_art.png,"Like the previous three games in the series, including MK Mobile, Mortal Kombat 11 is a 2.5D fighting game. Alongside the returning Fatalities, Brutalities, Stage Fatalities, Friendships and Quitalities, new gameplay features are introduced, such as Fatal Blows and Krushing Blows. Fatal Blows are special moves similar to the X-ray moves in Mortal Kombat X. Like X-ray moves, Fatal Blows deal a large amount of damage, but unlike them, they only become available when a player's health drops below 30%, and can only be performed once per match. Krushing Blows are a special cinematic variation of a given special move, triggered when certain requirements are met, like most Brutalities in the previous game.[10] Also new to the series is a Flawless Block mechanic, which allows for a comeback window after blocking an attack with precise timing.[11] Another returning finisher is Mercy, last seen in Ultimate Mortal Kombat 3, where the winning player can opt to revive their opponent, giving them a small amount of life.",15,976310,54422427,54422430,54422424,0,10171152,0,10171163,0,10171154,0
Death Stranding,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6.8,0,0,0,1,19.99,2019,11,08,https://upload.wikimedia.org/wikipedia/en/2/22/Death_Stranding.jpg,"Death Stranding is an action game set in an open world, and includes asynchronous online functions. Kojima refers to Death Stranding as the first ""strand game"", an original genre characterized by the game's incorporation of social elements. Kojima compared this genre to how his earlier game Metal Gear-now considered a stealth game-was called an action game during its release because the stealth genre had not been established.",16,1190460,51328402,0,0,0,10174855,0,0,0,0,0
Red Dead Redemption 2,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,10,0,0,0,1,19.99,2018,10,26,https://upload.wikimedia.org/wikipedia/en/4/44/Red_Dead_Redemption_II.jpg,"The game is presented through both first and third-person perspectives, and the player may freely roam in its interactive open world. Gameplay elements include shootouts, heists, hunting, horseback riding, interacting with non-player characters, and maintaining the character's honor rating through moral choices and deeds. A bounty system similar to the ""wanted"" system from the Grand Theft Auto franchise governs the response of law enforcement and bounty hunters to crimes committed by the player.",17,1174180,51901045,51901078,0,0,10138091,0,10138093,0,0,0
Doom Eternal,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,9,0,0,0,1,19.99,2020,03,20,https://upload.wikimedia.org/wikipedia/en/9/9d/Cover_Art_of_Doom_Eternal.png,"Players once again take on the role of the Doom Slayerwho battles the demonic forces of Hell, from a first-person perspective. The game continues its predecessor's emphasis on ""push-forward"" combat, encouraging the player to aggressively engage enemies in order to acquire health, ammo, and armor. The player has access to various firearms, such as the Combat Shotgun, Super Shotgun, Heavy Cannon, Rocket Launcher, Plasma Rifle, Chaingun, BFG 9000, and Ballista. Melee weapons such as a chainsaw, the ""Crucible Blade"" energy sword and a retractable arm-blade called the ""Doomblade"" can also be used. The arm-blade provides the opportunity for a larger variety of quick and violent ""glory kill"" executions, which drop extra health. The Super Shotgun is now equipped with the ""Meat Hook"", a ranged accessory which grabs on to enemies and slingshots the player towards them, functioning as a grappling hook, useful both in combat scenarios and environmental navigation. The Doom Slayer's armor now includes a shoulder-mounted Equipment Launcher with the ability to lob grenades and ice bombs. Additional to it is the Flame Belch, a flame thrower which sets enemies on fire with it to drop armor pickups. Finally, killing enemies with the chainsaw will drop ammunition. New movement mechanics such as wall-climbing, dash moves, and horizontal bars to swing from have also been introduced.",18,782330,53742057,53742063,0,0,10163466,0,10163469,0,10178671,0
Half Life Alyx,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,10,0,0,0,1,59.99,2020,03,23,https://upload.wikimedia.org/wikipedia/en/4/49/Half-Life_Alyx_Cover_Art.jpg,"Half-Life: Alyx is a virtual reality (VR) game that supports all SteamVR-compatible VR headsets, which include the Valve Index, HTC Vive, Oculus Rift, Oculus Quest (wired through Oculus Link, or wireless using Virtual Desktop) and all Windows Mixed Reality headsets. As the gameplay was designed around VR, Valve stated there were no plans for a non-VR version. Half-Life: Alyx also supports user mods via the Steam Workshop. Valve's Robin Walker anticipated that fans would modify the game to allow it to be played without VR equipment, adding that Valve was curious to see how players would react to this version. Tyler McVicker of Valve News Network discovered a pre-release build of the game mistakenly leaked on Steam that included non-VR developer tools, allowing interactions such as picking up objects and firing weapons. However, most of the game's basic interactions such as pressing buttons or filling Alyx's backpack could not be completed with the ""use"" key. McVicker concluded that unless a modder found a way to completely change how the player's actions affected the game world, it was impossible to play the entire game with a non-VR control scheme.",19,546560,0,0,0,0,0,0,0,0,0,0
Horizon Zero Dawn,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,9.3,0,0,1,0,19.99,2017,02,28,https://upload.wikimedia.org/wikipedia/en/9/93/Horizon_Zero_Dawn.jpg,"Horizon Zero Dawn is Guerrilla Games' first intellectual property since Killzone in 2004 and its first role-playing game. Development began in 2011 after the completion of Killzone 3, with director Mathijs de Jonge considering it the riskiest idea pitched at the time. The game engine, Decima, was developed for Killzone Shadow Fall and altered for Horizon Zero Dawn. Being set in a post-apocalyptic setting, anthropologists were consulted to authenticate the world's decay over a millennium. The soundtrack was led by composer Joris de Man, featuring contributions from The Flight.",20,1151640,0,0,0,0,10156207,0,0,0,0,0
